,p,comp,diameter,avg_short_path,density,avg_clustering
9146,0.39,1,2,1.6010971786833856,0.3989028213166144,0.3957309663127504
9147,0.4,1,2,1.6110240334378265,0.3889759665621735,0.39088242187620226
9148,0.41000000000000003,1,2,1.5825496342737722,0.4174503657262278,0.41376983864551276
9149,0.42000000000000004,1,2,1.5700104493207943,0.42998955067920586,0.4269944777349671
9150,0.43,1,2,1.5726227795193313,0.42737722048066873,0.4260200644121902
9151,0.44,1,2,1.562957157784744,0.437042842215256,0.43714642389965186
9152,0.45,1,2,1.556687565308255,0.443312434691745,0.43771047283105646
9153,0.46,1,2,1.5289968652037618,0.47100313479623823,0.47062029640047204
9154,0.47000000000000003,1,2,1.536050156739812,0.46394984326018807,0.4658446152622889
9155,0.48000000000000004,1,2,1.5318704284221525,0.46812957157784746,0.47023427399789725
9156,0.49,1,2,1.5104493207941483,0.4895506792058516,0.4869973222523791
9157,0.5,1,2,1.5,0.5,0.4983583181868358
9158,0.51,1,2,1.4809299895506791,0.5190700104493208,0.5202984925100713
9159,0.52,1,2,1.4984326018808778,0.5015673981191222,0.5018641202493809
9160,0.53,1,2,1.473876698014629,0.5261233019853709,0.527105361268335
9161,0.54,1,2,1.4587251828631138,0.5412748171368861,0.5415171511375058
9162,0.55,1,2,1.4691745036572623,0.5308254963427377,0.5330889198830898
9163,0.56,1,2,1.4399164054336469,0.5600835945663531,0.562565166034885
9164,0.5700000000000001,1,2,1.435997910135841,0.5640020898641588,0.5680233433226991
9165,0.5800000000000001,1,2,1.4192789968652038,0.5807210031347962,0.5826008404042863
9166,0.59,1,2,1.4171891327063741,0.582810867293626,0.5835148209788421
9167,0.6,1,2,1.4049111807732497,0.5950888192267503,0.5973013364622438
9168,0.61,1,2,1.387669801462905,0.6123301985370951,0.6111161840969236
9169,0.62,1,2,1.3824451410658307,0.6175548589341693,0.6157823865663592
9170,0.63,1,2,1.356060606060606,0.6439393939393939,0.6438312550320066
9171,0.64,1,2,1.3680773249738767,0.6319226750261233,0.6319127036310571
9172,0.65,1,2,1.3610240334378265,0.6389759665621735,0.6384550145841558
9173,0.66,1,2,1.325496342737722,0.6745036572622779,0.6770662300576208
9174,0.67,1,2,1.339864158829676,0.660135841170324,0.6602174347652058
9175,0.68,1,2,1.3171368861024033,0.6828631138975967,0.6813810279169752
9176,0.6900000000000001,1,2,1.3231452455590387,0.6768547544409613,0.6766404146814469
9177,0.7000000000000001,1,2,1.2972831765935213,0.7027168234064786,0.7029040740829944
9178,0.7100000000000001,1,2,1.292319749216301,0.707680250783699,0.7067642908283943
9179,0.72,1,2,1.2797805642633229,0.7202194357366771,0.7212793628985762
9180,0.73,1,2,1.270637408568443,0.7293625914315569,0.727292025004486
9181,0.74,1,2,1.2479101358411704,0.7520898641588297,0.7506036466193944
9182,0.75,1,2,1.2442528735632183,0.7557471264367817,0.7565072593375604
9183,0.76,1,2,1.2434691745036572,0.7565308254963428,0.757558801656833
9184,0.77,1,2,1.223876698014629,0.7761233019853709,0.7755130253695991
9185,0.78,1,2,1.2147335423197492,0.7852664576802508,0.7840081569511512
9186,0.79,1,2,1.2074190177638453,0.7925809822361547,0.7913739187651202
9187,0.8,1,2,1.1998432601880877,0.8001567398119123,0.8007829912346847
9188,0.81,1,2,1.1857366771159874,0.8142633228840125,0.8145255599374516
9189,0.8200000000000001,1,2,1.1802507836990597,0.8197492163009404,0.8197299415404835
9190,0.8300000000000001,1,2,1.1760710553814002,0.8239289446185998,0.8239980594510498
9191,0.8400000000000001,1,2,1.163531870428422,0.8364681295715779,0.8367321835538555
9192,0.85,1,2,1.14576802507837,0.85423197492163,0.8535376498211275
9193,0.86,1,2,1.1413270637408568,0.8586729362591432,0.8583310435131923
9194,0.87,1,2,1.1256530825496343,0.8743469174503657,0.8743171486993844
9195,0.88,1,2,1.1201671891327063,0.8798328108672936,0.8790408326139278
9196,0.89,1,2,1.1154649947753397,0.8845350052246604,0.8846655944383215
9197,0.9,1,2,1.0974399164054336,0.9025600835945663,0.9032588891005454
9198,0.91,1,2,1.083594566353187,0.9164054336468129,0.9164098220009893
9199,0.92,1,2,1.0888192267502612,0.9111807732497388,0.9116212609503923
9200,0.93,1,2,1.0676593521421107,0.9323406478578893,0.9318725446861458
9201,0.9400000000000001,1,2,1.0634796238244515,0.9365203761755486,0.9369480183424401
9202,0.9500000000000001,1,2,1.047544409613375,0.9524555903866249,0.9525516433892102
9203,0.9600000000000001,1,2,1.036050156739812,0.9639498432601881,0.9640389711449651
9204,0.97,1,2,1.0300417972831766,0.9699582027168234,0.9699676626200304
9205,0.98,1,2,1.0222048066875653,0.9777951933124347,0.9776994494652641
9206,0.99,1,2,1.0114942528735633,0.9885057471264368,0.9885240203826015
9207,0.01,40,0,0.0,0.012539184952978056,0.0
9208,0.02,26,0,0.0,0.01698014629049112,0.0
9209,0.03,6,0,0.0,0.031086729362591433,0.007305194805194804
9210,0.04,2,0,0.0,0.04049111807732497,0.03492965367965368
9211,0.05,2,0,0.0,0.048589341692789965,0.02392512790240063
9212,0.060000000000000005,1,5,2.8181818181818183,0.060867293625914316,0.04978518955791684
9213,0.06999999999999999,1,5,2.616771159874608,0.07288401253918496,0.0530229240456513
9214,0.08,1,5,2.5671368861024035,0.07654127481713689,0.11828020464384094
9215,0.09,1,4,2.357889237199582,0.09273772204806688,0.08839443384897931
9216,0.09999999999999999,1,4,2.3079937304075235,0.09717868338557993,0.08393979757616117
9217,0.11,1,4,2.211076280041797,0.10867293625914315,0.11044792069190464
9218,0.12,1,4,2.170062695924765,0.11598746081504702,0.1157637408640082
9219,0.13,1,3,2.061128526645768,0.13192267502612331,0.13801732694393817
9220,0.14,1,3,2.0088819226750263,0.14211076280041798,0.14657488809701716
9221,0.15000000000000002,1,3,1.9689132706374086,0.14968652037617555,0.14725394515888457
9222,0.16,1,3,1.934430512016719,0.15804597701149425,0.13698056476078566
9223,0.17,1,3,1.9067398119122256,0.16849529780564262,0.17666689875509112
9224,0.18000000000000002,1,3,1.867816091954023,0.18051201671891326,0.17381367087813862
9225,0.19,1,3,1.8401253918495297,0.19017763845350052,0.18275126961348942
9226,0.2,1,3,1.8330721003134796,0.19540229885057472,0.19112976229446224
9227,0.21000000000000002,1,3,1.808516196447231,0.20741901776384536,0.20969516003423355
9228,0.22,1,3,1.8171368861024033,0.19958202716823406,0.1992125862369547
9229,0.23,1,3,1.7944096133751306,0.2173458725182863,0.2226727416162632
9230,0.24000000000000002,1,3,1.755485893416928,0.2473876698014629,0.24187624730345308
9231,0.25,1,3,1.7468652037617556,0.2557471264367816,0.2620226007229462
9232,0.26,1,3,1.733019853709509,0.26802507836990597,0.2659062651014554
9233,0.27,1,3,1.7225705329153604,0.2782131661442006,0.27390251781842295
9234,0.28,1,3,1.7108150470219436,0.2894461859979101,0.29097996528341513
9235,0.29000000000000004,1,3,1.7204806687565308,0.2800417972831766,0.2808741210771047
9236,0.3,1,2,1.6964472309299896,0.30355276907001044,0.301213685289432
9237,0.31,1,2,1.6841692789968652,0.3158307210031348,0.3152379527674946
9238,0.32,1,2,1.6724137931034482,0.3275862068965517,0.32520569162362883
9239,0.33,1,2,1.6713688610240334,0.3286311389759666,0.3341347302603729
9240,0.34,1,2,1.6640543364681295,0.33594566353187044,0.32982624274684036
9241,0.35000000000000003,1,2,1.6596133751306166,0.3403866248693835,0.3388633110694065
9242,0.36000000000000004,1,2,1.631400208986416,0.36859979101358414,0.3703147637720469
9243,0.37,1,2,1.6316614420062696,0.3683385579937304,0.37437692727097044
9244,0.38,1,2,1.6144200626959249,0.38557993730407525,0.3860342924191173
9245,0.39,1,2,1.6052769070010449,0.3947230929989551,0.38931009227959296
9246,0.4,1,2,1.6102403343782654,0.3897596656217346,0.39150673676930664
9247,0.41000000000000003,1,2,1.5760188087774294,0.42398119122257055,0.4191572757314685
9248,0.42000000000000004,1,2,1.5786311389759666,0.4213688610240334,0.4225119048791562
9249,0.43,1,2,1.58098223615465,0.41901776384535006,0.42073194538809433
9250,0.44,1,2,1.5606060606060606,0.4393939393939394,0.43666090656035794
9251,0.45,1,2,1.5556426332288402,0.4443573667711599,0.44135028413874283
9252,0.46,1,2,1.5464994775339602,0.4535005224660397,0.4520020473948776
